anime_name;count_cards
DOTA: Кровь дракона;17
MF Призрак;10
MF Призрак 2 сезон;12
Агент Времени 3 сезон: Глава Инду;11
Айшилд 21;12
Актёры ослеплённого города;15
Амнезия;17
Астра, затерянная в космосе;12
Баки - Сын Великана 2 сезон;13
Бакуман;11
Бармен: Бокал бога;11
Баскетбол Куроко: Последняя игра;10
Басня;18
Безграничный Фафнир;10
Безупречный мир: Пепел пламени;19
Бек;13
Бессонница после школы;11
Богиня жаждет игр;10
Боевой отряд «Полный провал»;15
Буря потерь;11
В другом мире со смартфоном;11
В другом мире со смартфоном 2 сезон;15
Вампирское общежитие;10
Ведьмина служба доставки;12
Великие помыслы Нобуны Оды;10
Величайший Повелитель Демонов перерождается как типичное ничтожество;13
Вечера с кошкой;13
Вечная воля;10
Вечная воля 2 сезон;11
Визуальная тюрьма;11
Война горничных Акибы;10
Война двенадцати;11
Вольный стиль! 2 сезон: Вечное лето;15
Вольный стиль! 3 сезон: Заплыв в будущее;11
Всемогущая магия святой;10
Выдающиеся звери 2 сезон;12
Галактика по соседству;12
Герой мёртв;10
Гинтама 3 сезон;10
Гипнотический микрофон;11
Глейпнир;14
Горизонт среди пустоты;16
Гридмен;12
Гримгал пепла и иллюзий;12
Грэй-мен 2 сезон;14
Двенадцать королевств;20
Двуличный братик;10
Девушки и танки;11
Девы Розена 2013;11
Дека-данс;12
День, когда я стала Богом;10
Детская Делико;22
Джульетта из школы-интерната;10
Дитя хаоса;10
Для тебя, Бессмертный 2 сезон;10
Добро пожаловать в Японию, госпожа эльф!;12
Добро пожаловать в ад, Ирума 2 сезон;17
Доктор Стоун 3 сезон: Новый мир;14
Доктор Стоун 4 сезон: Научное будущее;12
Домашний питомец, иногда сидящий на моей голове;20
Достучаться до тебя;12
Достучаться до тебя 2 сезон;10
Досье лорда Эль-Меллоя II;10
Драконий кризис!;22
Дурни, тесты, аватары;14
За облаками;12
Загугли это, Коккури;23
Запретная татуировка;10
Злодейка девяносто девятого уровня: «Я босс, но не король демонов»;12
Золотое божество 2;25
Золотое божество 3;15
Зомбиленд. Сага;10
Из мечтателя в реалиста;11
Икс;24
Импульс мира;10
Инициал Ди 5 сезон;10
Иной мир – легенда Святых Рыцарей;12
Исполнительный комитет признаний в любви;20
Истинная красота;12
Истории подделок;14
История любви Тамако;10
История о дедушке и бабушке, которые снова стали молодыми;10
Истребители насекомых;19
Карнавал;13
Кастлвания: Ноктюрн;11
Кизнайвер;12
Кланнад;10
Класс для героев;10
Клетки за работой;11
Клетки за работой 2 сезон;11
Клетки за работой: Тёмная сторона;12
Когда плачут цикады;11
Когда плачут чайки;12
Контроль;15
Корзинка фруктов;18
Королева, ставшая причиной трагедии, сделает для народа всё, что в её силах;11
Кот, мастер на все лапки, сегодня снова грустит;11
Красный рейнджер становится искателем приключений в другом мире;10
Кровавая ночь Сэнгоку;10
Кровь Зевса;10
Кулинарные скитания в параллельном мире;11
Лагерь на свежем воздухе;13
Лагерь на свежем воздухе 2 сезон;13
Лагерь на свежем воздухе 3 сезон;33
Легенда о Гранкресте;18
Летний призрак;13
Лукизм;12
Любовь Мураи;10
Любовь неделима между близнецами;13
Межвидовые рецензенты;33
Мой сосед Секи-кун;10
Мой счастливый брак 2 сезон;10
Мой сэмпай раздражает;16
Мотоклуб;12
Мститель;10
Мы не можем учиться! 2 сезон;10
На этот раз одержи победу над императором драконов, благородная девушка!;10
Намбака;19
Нападение одиночки на иной мир;13
Насколько тяжелые гантели ты сможешь поднять?;10
Наука влюблена, и мы докажем это;11
Не люблю боль, поэтому собираюсь вложить всё в защиту;11
Невероятные приключения Джоджо 6 сезон: Каменный океан;15
Ненасытный Берсерк;22
Непревзойденный на пути алхимии;10
Несносные пришельцы 2022;11
Низкоуровневый персонаж Томодзаки;10
Низкоуровневый персонаж Томодзаки 2 сезон;10
Нина в королевстве звёзд;14
Ниндзя Камуи;11
Норн9: Норн + Нонет;15
Одному лишь Богу ведомый мир;24
Одному лишь Богу ведомый мир 2 сезон;11
Одному лишь Богу ведомый мир 3 сезон;29
Она представилась как ученик мудреца;13
Онимуся;10
Операция: Семейка Ёдзакура;13
Оружейницы;11
От простого человека до героя-разведчика;10
Отныне Мао, король демонов!;10
Отряд самоубийц из другого мира;16
Палач богов: Между смертным и божественным царством;17
Папаши-дружбаны;10
Парадокс в прямом эфире;17
Парадоксальный навык «Мастер фруктов»: Навык, позволяющий есть бесконечное число фруктов (правда, вы умрёте, лишь откусив их);17
Первый шаг;14
Перезапись;11
Переродившись аристократом-неудачником, я потратил всё своё свободное время, чтобы стать великим магом!;10
Перерождение в аристократа со способностью анализа 2 сезон;12
Персиковый мальчик, пришедший с другого побережья;10
Персона 4;31
Плачущий призрак на пенсии;13
Повелитель демонов 2099;14
Повелитель тьмы: Другая история мира — Магия подчинения;10
Повесть об Аньхэ;11
Подручный Луизы-Нулизы 2 сезон;11
Подручный Луизы-Нулизы 4 сезон;10
Похороны Короля Роз;11
Почему все забыли мой мир?;14
Призванный в другой мир во второй раз;14
Принц тенниса 2 сезон;12
Принц тенниса 3 сезон;13
Принцесса-библиофил;21
Приоритет чудо-яйца;15
Проект Кей;14
Развращённая гильдия;10
Рай Грисайи;12
Ранма 1/2 2024;10
Рейтинг королей;14
Рон Камонохаси: Невменяемый детектив;11
Рон Камонохаси: Невменяемый детектив 2 сезон;10
Сага о Винланде 2 сезон;12
Садистская смесь;12
Сакура - собирательница карт;29
Сасаки и Пи;10
Семь смертных грехов: Четыре всадника Апокалипсиса;12
Сервамп;14
Сильнейший герой, обученный в тайном подземелье;12
Синдуальность: Нуар;41
Синий экзорцист 2 сезон: Нечестивый король Киото;10
Синий экзорцист 4 сезон 2 часть: Вся ночь;11
Сказание об обручальных кольцах;10
Сказка о Хвосте Феи;16
Сладкий лимонад;12
Сладкое перевоплощение;11
Слишком милый кризис;32
Смертоносный герцог и его чёрная горничная 3 сезон;12
Сон в замке демона;14
Стальная тревога!;10
Становление богом 2 сезон;11
Старшая карта;11
Старшеклассники позволили себе жизнь в другом мире!;16
Страж перерождения;10
Страна самоцветов;18
Странники;10
Сэкирэй;10
Сэкирэй 2 сезон: Чистая связь;10
Тада не может влюбиться;18
Темнее черного 2 сезон: Близнецы и падающая звезда;10
Тетрадь дружбы Нацумэ 7 сезон;11
Тирания вооруженных девушек;10
Токийские вороны;10
Трусливый велосипедист;10
Труська, Чулко и пресвятой Подвяз;11
Туалетный мальчик Ханако 2 сезон;14
Тусовщик Кунмин;10
Тяжкий труд в подземелье;10
Тёмный дворецкий 3 сезон: Глава о цирке;10
Убивая слизней триста лет, сама того не заметив, я достигла максимального уровня;13
Ублюдок!! Сокрушитель тьмы ONA;10
Удар крови;10
Удар крови OVA 2;10
Фармацевт из параллельного мира;11
Фена: Принцесса пиратов;42
Фи Брейн: Загадка Бога;11
Фронт кровавой блокады;22
Фронт кровавой блокады 2 сезон;10
Харука и Каната принимают подачу;13
Хикару и го;11
Хост-клуб Оранской школы;13
Хотя я только первого уровня, но с этим уникальным навыком я стану сильнейшим;13
Худшая работа «оценщика» оказалась самой сильной;15
Царство 3 сезон;20
Чара-хранители! Вечеринка!;10
Человек-дьявол: Плач;10
Четверо братьев Юдзуки;10
Четвёрка попаданцев;21
Четвёрка попаданцев 2 сезон;29
Члены Школьного совета;13
Члены Школьного совета 2 сезон;18
Чудачество любви не помеха! Положись на меня;14
Чёрный призыватель;18
Шаман Кинг 2021;15
Шестая Зона;11
Шпионский класс;10
Юань Лун;10
Ювенильная песня;10
Ювенильная песня 2 сезон;10
Я делаю всё возможное, чтобы чувствовать себя как дома в другом мире;10
Я и мой слуга из секретной службы;10
Я парировал всё время, чтобы стать сильнейшим авантюристом;18
Я прибрал к рукам девушку, которая потеряла своего жениха, и теперь я учу её всяким плохим вещам;11
Я секретарь гильдии, но я не люблю сверхурочную работу, поэтому я собираюсь подчинить босса в одиночку;14
Я стал учителем в школе монстров!;52
Я стала злодейкой, поэтому мне нужно заарканить последнего босса;24
